#,Region,AZ,State,ID,Name,OS,Instance Type,EBS,Private IP,Public IP,Elastic IP,Launch Time
412,cn-north-1,cn-north-1a,running,i-b02a0d88,prod-proxy-renhang-nginx-2,Linux,m3.medium,EBS,10.28.10.203,52.80.74.236,,2019-03-20 21:45:01 UTC
413,cn-north-1,cn-north-1a,running,i-01e72b62ed902b33a,nodes.test100.k8s.local,Linux,r4.xlarge,EBS,10.110.200.182,unassigned,,2019-02-14 07:13:12 UTC
414,cn-north-1,cn-north-1b,running,i-07ea63584a2084213,kibana-es-prod-02,Linux,m4.large,EBS,10.28.15.66,unassigned,,2017-07-17 05:42:58 UTC
415,cn-north-1,cn-north-1b,running,i-0ca44cdde8435e014,nodes.test100.k8s.local,Linux,r4.xlarge,EBS,10.110.201.63,unassigned,,2019-02-13 13:23:51 UTC
416,cn-north-1,cn-north-1b,running,i-06a765c9dcee7c8e0,uat2.xh-prod.k8s.local,Linux,m3.2xlarge,EBS,10.28.31.44,unassigned,,2018-11-13 08:41:35 UTC
417,cn-north-1,cn-north-1a,running,i-03bfc7af996bed0ea,elasticsearch-es-prod-data-11,Linux,r4.2xlarge,EBS,10.28.13.242,unassigned,,2017-06-14 12:02:53 UTC
418,cn-north-1,cn-north-1a,running,i-06559e6f57ddc5d70,kafka-es-test-01,Linux,t2.medium,EBS,10.110.11.17,unassigned,,2018-01-15 10:20:18 UTC
419,cn-north-1,cn-north-1a,running,i-01f85ec8be562383f,xhqb-datawarehouse,Linux,m4.2xlarge,EBS,10.28.100.200,52.80.124.218,,2019-03-19 03:32:55 UTC
420,cn-north-1,cn-north-1b,running,i-067675b6b8bd1da47,risk-bt,Windows,m4.xlarge,EBS,10.28.202.207,unassigned,,2018-01-30 10:44:06 UTC
421,cn-north-1,cn-north-1a,running,i-0e36f06bd6c3ead9a,test1-dubbo-v2,Linux,t2.small,EBS,10.110.3.51,unassigned,,2017-10-23 08:01:19 UTC
422,cn-north-1,cn-north-1a,running,i-05a651b2e0b47612a,logstash-sec-prod,Linux,c4.large,EBS,10.28.13.17,unassigned,,2017-11-29 10:12:49 UTC
423,cn-north-1,cn-north-1a,running,i-eb7402d3,XH-DMZ-01,Linux,m4.large,EBS,10.8.12.26,54.223.39.255,ElasticIP,2018-04-20 02:17:11 UTC
424,cn-north-1,cn-north-1a,running,i-ec7402d4,XH-DMZ-02,Linux,m4.large,EBS,10.8.12.27,54.223.62.196,ElasticIP,2018-03-15 02:06:05 UTC
425,cn-north-1,cn-north-1a,running,i-8ff3d3b7,mysql-tools-prod,Linux,t2.medium,EBS,10.28.2.95,unassigned,,2016-07-18 08:11:24 UTC
426,cn-north-1,cn-north-1a,running,i-06e8b7032a18c6591,prod-frontend-pub,Linux,t2.medium,EBS,10.100.50.55,unassigned,,2017-10-15 03:47:06 UTC
427,cn-north-1,cn-north-1a,running,i-0efe4bfa66ccdab0b,es-snow-restore-data-05,Linux,m4.4xlarge,EBS,10.28.18.212,unassigned,,2019-03-19 07:51:37 UTC
428,cn-north-1,cn-north-1a,running,i-005261e76461e727d,m4-nodes.test100.k8s.local,Linux,m4.2xlarge,EBS,10.110.200.234,unassigned,,2019-03-04 20:10:31 UTC
429,cn-north-1,cn-north-1b,running,i-d94c3361,XH-ADM-02,Linux,m4.large,EBS,10.28.3.187,unassigned,,2016-11-09 17:23:53 UTC
430,cn-north-1,cn-north-1b,running,i-da4c3362,XH-ADM-01,Linux,m4.large,EBS,10.28.3.186,unassigned,,2016-11-09 17:17:05 UTC
431,cn-north-1,cn-north-1a,running,i-d8bfe0e0,prod-snowplow-enrich-01,Linux,m4.large,EBS,10.28.13.100,unassigned,,2016-11-29 10:43:16 UTC
432,cn-north-1,cn-north-1a,running,i-049cb37330514c047,janusgraph-scylla-test,Linux,r4.2xlarge,EBS,10.110.32.194,unassigned,,2018-11-13 03:48:46 UTC
433,cn-north-1,cn-north-1b,running,i-0dcf2e0a6b3035bc7,janusgraph-server2,Linux,c4.2xlarge,EBS,10.28.101.11,unassigned,,2018-11-01 09:45:17 UTC
434,cn-north-1,cn-north-1b,running,i-07270ef447594860e,janusgraph-server1,Linux,c4.2xlarge,EBS,10.28.101.252,unassigned,,2018-11-01 09:45:08 UTC
435,cn-north-1,cn-north-1b,running,i-07fe7b179b35b25ac,janusgraph-server3,Linux,c4.2xlarge,EBS,10.28.101.134,unassigned,,2018-11-02 11:56:04 UTC
436,cn-north-1,cn-north-1a,running,i-0946472e78bab07bd,cdh-node-prod,Linux,r4.xlarge,EBS,10.28.18.198,unassigned,,2018-10-31 07:42:11 UTC
437,cn-north-1,cn-north-1a,running,i-0a7daa0d2e5fc1bc7,nodejs-test,Linux,t2.medium,EBS,10.110.0.118,54.223.70.201,,2016-12-27 03:32:10 UTC
438,cn-north-1,cn-north-1b,running,i-05336c1801d013e9b,es-snow-restore-data-14,Linux,m4.4xlarge,EBS,10.28.19.216,unassigned,,2019-03-19 07:52:08 UTC
439,cn-north-1,cn-north-1a,running,i-0cee699fa2fdf1265,kibana-es-prod-01,Linux,m4.large,EBS,10.28.13.66,unassigned,,2017-07-17 06:13:37 UTC
440,cn-north-1,cn-north-1b,running,i-0346a1c481f1bc327,nats-demo2,Linux,c5d.large,EBS,10.110.33.9,unassigned,,2019-03-01 05:25:33 UTC
441,cn-north-1,cn-north-1b,running,i-0161c2fcec87a5aef,nats-demo1,Linux,c5d.large,EBS,10.110.33.158,unassigned,,2019-03-01 05:25:33 UTC
442,cn-north-1,cn-north-1a,running,i-041982cfb099e03d3,es-snr-prod-master-03,Linux,t2.medium,EBS,10.28.18.101,unassigned,,2018-07-04 11:38:30 UTC
443,cn-north-1,cn-north-1b,running,i-0538ada19f69b6b81,Xh-test-spark-cluster-version2.3.0,Linux,r4.xlarge,EBS,10.110.87.145,unassigned,,2018-12-28 07:36:15 UTC
444,cn-north-1,cn-north-1b,running,i-0abfb2aece1dbf217,RabbitMQ,Linux,t2.medium,EBS,10.28.19.116,unassigned,,2018-04-02 03:47:10 UTC
